,White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other
precision,0.6290780141843971,0.5483870967741935,0.6346153846153846,0.3333333333333333,1.0
recall,0.7905525846702317,0.864406779661017,0.6470588235294118,0.6,1.0
fbeta,0.7006319115323855,0.6710526315789475,0.6407766990291263,0.42857142857142855,1.0
