,Own-child,Husband,Other-relative,Unmarried,Not-in-family,Wife
precision,0.4,0.6717687074829932,0.3333333333333333,0.37209302325581395,0.3212121212121212,0.6875
recall,0.6,0.7737512242899118,0.75,1.0,0.8983050847457628,0.8396946564885496
fbeta,0.48,0.7191624943104233,0.46153846153846156,0.5423728813559322,0.47321428571428575,0.7560137457044673
