,Self-emp-inc,?,Private,Local-gov,Self-emp-not-inc,Federal-gov,State-gov,Never-worked,Without-pay
precision,0.8135593220338984,0.5833333333333334,0.5877106045589693,0.7,0.6573426573426573,0.5921052631578947,0.6818181818181818,1.0,1.0
recall,0.7804878048780488,0.75,0.8068027210884354,0.7706422018348624,0.7899159663865546,0.6818181818181818,0.7377049180327869,1.0,1.0
fbeta,0.7966804979253113,0.6562499999999999,0.6800458715596331,0.7336244541484717,0.7175572519083969,0.6338028169014085,0.7086614173228346,1.0,1.0
