,Never-married,Married-civ-spouse,Divorced,Widowed,Married-spouse-absent,Separated,Married-AF-spouse
precision,0.38202247191011235,0.6718866517524236,0.30097087378640774,0.45454545454545453,0.2,0.375,0.0
recall,0.8717948717948718,0.7794117647058824,0.96875,1.0,0.5,0.8571428571428571,1.0
fbeta,0.53125,0.7216659991990387,0.45925925925925926,0.625,0.28571428571428575,0.5217391304347825,0.0
