,Doctorate,Some-college,Bachelors,HS-grad,5th-6th,9th,Masters,Assoc-voc,Prof-school,11th,Assoc-acdm,1st-4th,12th,7th-8th,10th,Preschool
precision,0.8571428571428571,0.5,0.8192219679633868,0.30383480825958703,1.0,0.14285714285714285,0.8791208791208791,0.4470588235294118,0.927710843373494,0.45454545454545453,0.6727272727272727,0.5,0.25,0.0,0.2,1.0
recall,0.9,0.6730769230769231,0.7584745762711864,0.8583333333333333,1.0,1.0,0.8602150537634409,0.8085106382978723,0.8105263157894737,0.8333333333333334,0.9024390243902439,1.0,1.0,1.0,1.0,1.0
fbeta,0.8780487804878048,0.5737704918032787,0.7876787678767877,0.4488017429193899,1.0,0.25,0.8695652173913043,0.5757575757575757,0.8651685393258428,0.5882352941176471,0.7708333333333333,0.6666666666666666,0.4,0.0,0.33333333333333337,1.0
