,Prof-specialty,?,Exec-managerial,Craft-repair,Adm-clerical,Other-service,Sales,Tech-support,Machine-op-inspct,Transport-moving,Handlers-cleaners,Farming-fishing,Protective-serv,Priv-house-serv,Armed-Forces
precision,0.8361111111111111,0.5833333333333334,0.8158567774936062,0.33695652173913043,0.37398373983739835,0.16666666666666666,0.6029411764705882,0.5087719298245614,0.34615384615384615,0.22950819672131148,0.3333333333333333,0.42857142857142855,0.6428571428571429,1.0,1.0
recall,0.806970509383378,0.75,0.7975,0.7294117647058823,0.7301587301587301,0.8,0.7935483870967742,0.7435897435897436,0.8571428571428571,0.7368421052631579,0.5714285714285714,1.0,0.75,1.0,1.0
fbeta,0.8212824010914053,0.6562499999999999,0.8065739570164349,0.46096654275092935,0.49462365591397844,0.27586206896551724,0.6852367688022284,0.6041666666666666,0.4931506849315069,0.35,0.4210526315789474,0.6,0.6923076923076924,1.0,1.0
